Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: CACNA1C; id: 775;	114205	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""2079951_2807116""}"	Timothy syndrome; short-QT-syndrome; Brugada syndrome	601005; 611875	AD	CARDIOVASCULAR	Hydrops. Prenatal and Neonatal demise.	M,F	Emerging	36167638		x	x	
name: CACNA2D1; id: 781;	114204	Maternal,Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""81575759_82073272""}"	Developmental and epileptic encephalopathy 110, short-QT-syndrome; Brugada syndrome	620149	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624	x	x	x	x
name: CACNB2; id: 783;	600003	Fetal	SNV	Undetermined	"{""id"":""chr10"",""data"":""18429352_18832486""}"	Brugada syndrome 4	611876	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	29495624	x	x	x	x
name: CADPS; id: 8618;	604667	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""62,384,023-62,861,091""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: CALM1; id: 801;	114180	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""90862845_90874619""}"	long-QT-syndrome; ventricular tachycardia; 	616247	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36167638; 29495620	x	x	x	x
name: CALM2; id: 805;	114182	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""47387220_47404075""}"	long-QT-syndrome; ventricular tachycardia; 	616249	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36167638; 29495620	x	x	x	x
name: CALM3; id: 808;	114183	Fetal	SNV	Undetermined	"{""id"":""chr19"",""data"":""47104330_47114050""}"	long-QT-syndrome; ventricular tachycardia; 	618782	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36167638; 29495620	x	x	x	x
name: CANT1; id: 124583;	613165	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""76987797_77005949""}"	Desbuquois dysplasia 1.	251450	AR	SKELETAL	Kyphosis, Joint laxity, narrow chest, short stature, disproportionate short-limb, abnormal facial shape.. Prenatal and Neonatal demise.	M,F	Known	34645488				x
name: CAPS; id: 828;	114212	Fetal	CNV,SNV	Undetermined	"{""id"":""chr19"",""data"":""5911385_5916222""}"	pregnancy loss		AR		Prenatal and Neonatal demise.	M,F	Candidate	31273585; 30339840	x	x		
name: CARD11; id: 84433;	607210	Fetal	SNV		"{""id"":""chr7"",""data"":""2,945,776-3,083,501""}"	Immunodeficiency 	615206	AR	HEMATOPOETIC		M,F	Known	30993004; 23374270				x
name: CASK; id: 8573;	300172	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""41,374,187-41,782,807""}"	FG syndrome 4, Mental retardation and microcephaly with pontine and cerebellar hypoplasia	300749	XLD	MULTIPLE >3		M,F	Known	30993004; 19165920				x
name: CASP9; id: 842;	602234	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""15817326_15853029""}"					Prenatal and Neonatal demise.	M,F	Emerging	31273585		x	x	
name: CASQ2; id: 845;	114251	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""116242625_116311426""}"	catecholaminergic polymorphic ventricular tachycardia (CPVT)	611938	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36167638		x	x	
name: CAV3; id: 859;	601253	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""8775485_8883492""}"	long-QT-syndrome	611818	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	36167638; 29495620	x	x	x	x
name: CBX3; id: 11335;	604477	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""26240781_26253227""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: CC2D2A; id: 57545;	612013	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""15471488_15603180""}"	Meckel syndrome	619111	AR	MULTIPLE >3	Hydrops. Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: CCBE1; id: 147372;	612753	Fetal	CNV,SNV	LoF	"{""id"":""chr18"",""data"":""57,098,171-57,364,655""}"	Hennekam lymphangiectasia-lymphedema syndrome 1, 235510 (3), Autosomal recessive	235510	AR	CARDIOVASCULAR		M,F	Known	30993004; 24086631; 19911200; 	x	x	x	x
name: CCDC115; id: 84317;	613734	Fetal	SNV		"{""id"":""chr2"",""data"":""131,095,506-131,100,254""}"	Congenital disorder of glycosylation, type IIo, 616828 (3), Autosomal recessive	616828	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 21362473; 26833332; 33340551				x
name: CCDC68; id: 80323;	616909	Fetal	CNV,SNV	Undetermined	"{""id"":""chr18"",""data"":""52568739_52626739""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: CCDC8; id: 83987;	614145	Fetal	SNV	LoF	"{""id"":""chr19"",""data"":""46,913,586-46,916,919""}"	3-M syndrome 3	614205	AR	MULTIPLE >3	Spontaneous miscarriage	M,F	Candidate	36075934		x	x	x
name: CCNO; id: 10309;	607752	Fetal	CNV,SNV	LoF	"{""id"":""chr5"",""data"":""54526979_54529545""}"	Ciliary dyskinesia	615872	AR		Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: CD3D; id: 915;	186790	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""118,209,669-118,213,420""}"	Immunodeficiency 19, 615617 (3), Autosomal recessive	615617	AR	IMMUNOLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 14602880; 15546002				x
name: CD3E; id: 916;	186830	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""118,175,445-118,186,888""}"	Immunodeficiency 18, 615615 (3), Autosomal recessive, Immunodeficiency 18, SCID variant, 615615 (3), Autosomal recessive	615615	AR	IMMUNOLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 15546002				x
name: CD3G; id: 917;	186740	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""118,215,059-118,225,876""}"	Immunodeficiency 17, CD3 gamma deficient, 615607 (3), Autosomal recessive	615607	AR	IMMUNOLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 2872416; 17277165				x
name: CD40LG; id: 959;	300386	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""135,730,317-135,742,549""}"	Immunodeficiency, X-linked, with hyper-IgM, 308230 (3), X-linked recessive	308230	XLR	IMMUNOLOGIC	Prenatal and Neonatal demise.	M	Known	30993004; 6605368; 17296845				x
name: CD96; id: 10225;	606037	Fetal	SNV		"{""id"":""chr3"",""data"":""111,261,044-111,384,843""}"	C syndrome, 211750 (3), Autosomal dominant	211750	AD	MULTIPLE >3		M,F	Known	30993004; 1190170				x
name: CDK11A; id: 728642;	116951	Unknown	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""1,702,379-1,724,357""}"					Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: CDKN1C; id: 1028;	600856	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""2,904,448-2,907,005""}"	Beckwith-Wiedemann syndrome, 130650 (3), Autosomal dominant, IMAGE syndrome, 614732 (3), Autosomal dominant	130650; 614732	AD	MULTIPLE >3	overgrowth, omphalocele, Prenatal and neonatal death	M,F	Known	30993004; 15769992				x
name: CDSN; id: 1041;	602593	Fetal	SNV	LoF	"{""id"":""chr6"",""data"":""31,082,864-31,088,223""}"	Peeling skin syndrome	270300	AR	SKIN		M,F	Known	30993004; 2434123				x
name: CDT1; id: 81620;	605525	Maternal,Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""88869620_88875666""}"	Meier-Gorlin syndrome 4	613804	AR	MULTIPLE >3	IUFD, multiple malformations. Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: CENPF; id: 1063;	600236	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""214776537_214837931""}"	Stromme syndrome, 243605 (3), Autosomal recessive	243605	AR	MULTIPLE >3	Microphthalmia, Xiphoid cleft, Hydronephrosis, duodenal atresia and «apple peel» atresia. Prenatal and Neonatal demise.	M,F	Emerging	30679815		x	x	
name: CENPH; id: 64946;	605607	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""68485374_68506184""}"					Prenatal and Neonatal demise.	M,F	Emerging	32172300		x	x	
name: CEP120; id: 153241;	613446	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""122680578_122759286""}"	Short-rib thoracic dysplasia 13 with or without polydactyly, 616300 (3), Autosomal recessive	616300	AR	SKELETAL	Skeletal dysplasia, polydactyly, narrow chest, short extremities, synpolydactyly, cerebellar hypoplasia, and Dandy-Walker malformation.. Prenatal and Neonatal demise.	M,F	Emerging	34645488	x	x		
name: CEP290; id: 80184;	610142	Fetal	CNV,SNV	LoF	"{""id"":""chr12"",""data"":""88442790_88535993""}"	Joubert syndrome; Leber congenital amaurosis; Meckel syndrome; Senior-Loken syndrome; Bardet-Biedl syndrome	611134	AR	MULTIPLE >3	microcephaly, Potter-like facies, sloping head, microphthalmia, polycystic kidneys, ambiguous genitalia. Prenatal and Neonatal demise.	M,F	Known	34406647		x	x	
name: CEP295; id: 85459;	617728	Fetal	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""93394847_93463524""}"				MULTIPLE >3	Encephalocele and dysplastic kidney. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: CEP55; id: 55165;	610000	Fetal	SNV	LoF	"{""id"":""chr10"",""data"":""95256368_95288849""}"	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly.	236500	AR	MULTIPLE >3	Anhydramnios, echogenic kidneys, hypoplastic lungs with small chest, microcephaly, and holoprosencephaly, nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: CHAT; id: 1103;	118490	Fetal	CNV,SNV	LoF	"{""id"":""chr10"",""data"":""50,817,141-50,875,988""}"	Myasthenic syndrome, congenital, 6, presynaptic, 254210 (3), Autosomal recessive	254210	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 7954508; 11172068				x
name: CHD7; id: 55636;	608892	Fetal	CNV,SNV	LoF	"{""id"":""chr8"",""data"":""61591298_61780587""}"	CHARGE syndrome	214800	AD	MULTIPLE >3	CHD, nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Known	33100332; 3565473; 18978652; 23215558	x	x	x	x
name: CHRNA1; id: 1134;	100690	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""175612319_175652663""}"	Multiple pterygium syndrome, lethal type	253290	AR	CARDIOVASCULAR	Hydrops. Prenatal and Neonatal demise.	M,F	Emerging	26036949; 31273580				x
name: CHRND; id: 1144;	100720	Fetal	SNV		"{""id"":""chr2"",""data"":""233,390,870-233,401,374""}"	Multiple pterygium syndrome, lethal type	253290; 616322	AR	MULTIPLE >3	cystic hygroma, hydrops	M,F	Known	30993004; 36092864;	 	x	x	
name: CHRNE; id: 1145;	100725	Fetal	CNV,SNV	Undetermined	"{""id"":""chr17"",""data"":""4,801,066-4,806,393""}"	Myasthenic syndrome, congenital	616324	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	22592360		x	x	x
name: CHRNG; id: 1146;	100730	Fetal	SNV	Undetermined	"{""id"":""chr2"",""data"":""233404401_233412825""}"	Escobar syndrome, 265000 (3), Autosomal recessive, Multiple pterygium syndrome, lethal type, 253290 (3), Autosomal recessive	265000; 253290	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Emerging	34406647				x
name: CHST14; id: 113189;	608429	Fetal	SNV		"{""id"":""chr15"",""data"":""40,763,183-40,765,357""}"	Ehlers-Danlos syndrome, musculocontractural type 1, 601776 (3), Autosomal recessive	601776	AR	NEUROMUSCULAR		M,F	Known	11370633; 30993004; 11666007				x
name: CILK1; id: 22858;	612325	Fetal	SNV	Undetermined	"{""id"":""chr6"",""data"":""52,866,101-52,926,622""}"	Endocrine-cerebroosteodysplasia, 612651 (3), Autosomal recessive	612651	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 19185282			x	x
name: CIT; id: 11113;	605629	Fetal	SNV		"{""id"":""chr12"",""data"":""120,123,596-120,315,124""}"	Microcephaly 17, primary, autosomal recessive, 617090 (3), Autosomal recessive	617090	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 27453579; 27503289				x
name: CLCN7; id: 1186;	602727	Fetal	SNV		"{""id"":""chr16"",""data"":""1,494,936-1,525,029""}"	Osteopetrosis, autosomal dominant 2, 166600 (3), Autosomal dominant, Osteopetrosis, autosomal recessive 4, 611490 (3)	166600; 611490	AD	SKELETAL	Prenatal and Neonatal demise.	M,F	Known	30993004; 11741829				x
name: CLMP; id: 79827;	611693	Fetal	CNV,SNV	LoF	"{""id"":""chr11"",""data"":""122,940,580-123,065,956""}"	Congenital short bowel syndrome, 615237 (3), Autosomal recessive	615237	AR	MULTIPLE >3		M,F	Known	30993004; 5765427				x
name: CLPB; id: 81570;	616254	Fetal	SNV		"{""id"":""chr11"",""data"":""71,996,539-72,145,575""}"	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271 (3), Autosomal recessive	616271	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 25597510; 25597511; 25650066				x
name: CNP; id: 1267;	123830	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""40118758_40129758""}"	?Leukodystrophy, hypomyelinating, 20 disease	619071	AR	NEUROLOGIC	 Dandy walker malformation, agenesis corpus coliseum , ventriculomegaly, and mild atrophy of the brain stem.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: CNTNAP1; id: 8506;	602346	Fetal	SNV	Undetermined	"{""id"":""chr17"",""data"":""40834548_40852011""}"	Lethal congenital contracture syndrome 7.	618186	AR	SKELETAL	Antenatal ultrasound revealed arthrogryposis and poor limb movement, polyhydramnios. Prenatal and Neonatal demise.	M,F	Emerging	34645488				x
name: COA6; id: 388753;	614772	Fetal	SNV		"{""id"":""chr1"",""data"":""234,509,202-234,520,826""}"	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4, 616501 (3), Autosomal recessive	616501	AR	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	30993004; 24549041; 25339201				x
name: COG6; id: 57511;	606977	Fetal	SNV		"{""id"":""chr13"",""data"":""40,229,764-40,365,803""}"	Congenital disorder of glycosylation, type IIl, 614576 (3), Autosomal recessive	614576	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 40213872; 20605848; 26260076; 28139241				x
name: COG7; id: 91949;	606978	Fetal	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""23,399,814-23,464,510""}"	Congenital disorder of glycosylation, type IIe, 608779 (3)	608779	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 16151902; 17356545; 17395513; 30653653	x			x
name: COL11A1; id: 1301;	120280	Fetal	CNV,SNV	dominant negative	"{""id"":""chr1"",""data"":""103,342,029-103,574,078""}"	Fibrochondrogenesis 1	228520	AR	SKELETAL	Short and wide fetal ribs (a dumbbell-shaped appearance), curved thoracic vertebrae, short long bones with wide metaphyses, microcephaly, deficient ossification	M,F	Known	30993004; 749746; 6507478; 24127948; 8733059			x	x
name: COL11A2; id: 1302;	120290	Fetal	SNV	dominant negative	"{""id"":""chr6"",""data"":""33130457_33160276""}"		601868	AD	SKELETAL	micromelia, craniofacial dysmorphia. Prenatal and Neonatal demise.	M,F	Emerging	28749478		x	x	
name: COL1A1; id: 1277;	120150	Fetal	SNV	dominant negative	"{""id"":""chr17"",""data"":""48260649_48279000""}"	Osteogenesis imperfecta	166220	AD	SKELETAL	skeletal dysplasia. Prenatal and Neonatal demise.	M,F	Known	34358384		x	x	x
name: COL1A2; id: 1278;	120160	Fetal	SNV	dominant negative	"{""id"":""chr7"",""data"":""94023872_94060544""}"	Ehlers-Danlos syndrome, arthrochalasia type, 2, 617821 (3), Ehlers-Danlos syndrome, cardiac valvular type, 225320 (3), Autosomal recessive, imperfecta, type III, 259420 (3), Autosomal dominant, Osteogenesis imperfecta, type II, 166210 (3), Autosomal dominant, Osteogenesis imperfecta, type IV, 166220 (3), Autosomal dominant	166210; 166220	AD	SKELETAL	skeletal dysplasia. Prenatal and Neonatal demise.	M,F	Known	34358384		x	x	
name: COL2A1; id: 1280;	120140	Fetal	CNV,SNV	LoF	"{""id"":""chr12"",""data"":""48,366,750-48,398,259""}"	Achondrogenesis, type II or hypochondrogenesis, 200610 (3), Autosomal dominant, Avascular necrosis of the femoral head, 608805 (3), Autosomal dominant, Czech dysplasia, 609162 (3), Autosomal dominant, Epiphyseal dysplasia, multiple, with myopia and deafness, 132450 (3), Autosomal dominant, Kniest dysplasia, 156550 (3), Autosomal dominant, Legg-Calve-Perthes disease, 150600 (3), Autosomal dominant, Osteoarthritis with mild chondrodysplasia, 604864 (3), Autosomal dominant, Platyspondylic skeletal dysplasia, Torrance type, 151210 (3), Autosomal dominant, SED congenita, 183900 (3), Autosomal dominant, SMED Strudwick type, 184250 (3), Autosomal dominant, Spondyloepiphyseal dysplasia, Stanescu type, 616583 (3), Autosomal dominant, Spondyloperipheral dysplasia, 271700 (3), Autosomal dominant, Stickler syndrome, type I, nonsyndromic ocular, 609508 (3), Autosomal dominant, Stickler syndrome, type I, 108300 (3), Autosomal dominant, Vitreoretinopathy with phalangeal epiphyseal dysplasia (3)	200610; 183900; 108000	AD	SKELETAL		M,F	Known	30993004; 10700704; 3977716				x
name: COL3A1; id: 1281;	120180	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""189,839,099-189,877,472""}"	Ehlers-Danlos syndrome, vascular type, 130050 (3), Autosomal dominant	130050	AD	MUSCULAR		M,F	Known	30993004; 28742248				x
name: COL7A1; id: 1294;	120120	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""48,564,073-48,595,329""}"	Epidermolysis bullosa	226600	AR	SKIN, Placenta	Spontaneous miscarriage, preterm birth	unknown	Candidate	19152976				x
name: COLEC10; id: 10584;	607620	Fetal	SNV		"{""id"":""chr8"",""data"":""119,964,502-120,120,694""}"	3MC syndrome 3, 248340 (3), Autosomal recessive	248340	AR	MULTIPLE >3		M,F	Known	30993004; 8851768				x
name: COQ9; id: 57017;	612837	Fetal	SNV		"{""id"":""chr16"",""data"":""57,481,391-57,495,182""}"	Coenzyme Q10 deficiency, primary, 5, 614654 (3), Autosomal recessive	614654	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 26081641; 11562630				x
name: COX10; id: 1352;	602125	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""13,972,821-14,111,994""}"	 Mitochondrial complex IV deficiency	220110	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 29990538; 10767350				x
name: COX15; id: 1355;	603646	Fetal	CNV,SNV	LoF	"{""id"":""chr10"",""data"":""101,454,050-101,491,884""}"	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119 (3)	615119	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 2175025; 21412973; 29990538		x	x	x
name: CPLANE1; id: 65250;	614571	Fetal	SNV	LoF	"{""id"":""chr5"",""data"":""37106329_37249530""}"	 Orofaciodigital syndrome VI.	614615	AR	MULTIPLE >3	Occipital encephalocele, dysmorphic facies, midline cleft lip and palate, synpolydactyly. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: CPOX; id: 1371;	612732	Fetal	SNV		"{""id"":""chr3"",""data"":""98,298,290-98,312,455""}"	Coproporphyria, 121300 (3), Autosomal dominant, Harderoporphyria, 121300 (3), Autosomal dominant	121300	AD	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 21103937				x
name: CPS1; id: 1373;	608307	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""211,342,409-211,543,831""}"	Carbamoylphosphate synthetase I deficiency, 237300 (3), Autosomal recessive	237300	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 3792387; 9711878				x
name: CPT2; id: 1376;	600650	Fetal	CNV,SNV	Undetermined	"{""id"":""chr1"",""data"":""53662100_53679869""}"	CPT II deficiency, lethal neonatal	600649; 608836	AD,AR	MULTIPLE >3	facial dysmorphia, polymicrogyria of CNS, adrenal cytomegaly, bilateral renal cystic dysplasia. Prenatal and Neonatal demise.	M,F	Emerging	30293990			x	x
name: CRB2; id: 286204;	609720	Fetal	SNV	LoF	"{""id"":""chr9"",""data"":""126,118,476-126,142,605""}"	Ventriculomegaly with cystic kidney disease	219730	AR	MULTIPLE >3	Polyhydramnios, premature birth, hydrocephaly, cystic kidney	M,F	Known	30993004; 2478019; 25557780; 2478019			x	x
name: CRIPT; id: 9419;	604594	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""46843554_46857315""}"	Short stature with microcephaly and distinctive facies, 615789 (3), Autosomal recessive	615789	AR	MULTIPLE >3	characteristic facies, hypoplastic terminal phalanges, osteopenia, markedly impaired retinal function, recurrent infections, persistent anemia with anisopoikilocytosis. Prenatal and Neonatal demise.	M,F	Emerging	34406647				x
name: CRLF1; id: 9244;	604237	Fetal	SNV		"{""id"":""chr19"",""data"":""18,704,047-18,717,609""}"	Cold-induced sweating syndrome 1, 272430 (3), Autosomal recessive	272430	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 14598344				x
name: CRPPA; id: 729920;	614631	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""16,127,152-16,460,947""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, 614643 (3)	614643	AR	NEUROLOGIC		M,F	Known	30993004; 10738921; 9492098; 22522421				x
name: CRPPA; id: 729920;	614631	Fetal	SNV	LoF	"{""id"":""chr7"",""data"":""16127149_16461163""}"	Muscular dystrophy-dystroglycanopathy	614643	AR	NEUROLOGIC	Lobar holoprosencephaly, absent  corpus callosal, cortical  dysplasia, large occipital myelomeningocele, large cervicodorsal syringomyelia, and right multicystic kidney.\n.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
